created_at,entry_id,field1,field2,field3,latitude,longitude,elevation,status
2025-02-24T21:29:33+00:00,1,84,132,,,,,
2025-02-24T21:29:48+00:00,2,81,132,,,,,
2025-02-24T21:30:04+00:00,3,81,132,,,,,
2025-02-24T21:30:19+00:00,4,82,131,,,,,
2025-02-24T21:30:36+00:00,5,80,132,,,,,
2025-02-24T21:30:51+00:00,6,82,133,,,,,
2025-02-24T21:31:07+00:00,7,78,133,,,,,
2025-02-24T21:31:23+00:00,8,78,134,,,,,
2025-02-24T21:31:39+00:00,9,78,134,,,,,
2025-02-24T21:31:55+00:00,10,81,134,,,,,
2025-02-24T21:32:10+00:00,11,86,131,,,,,
2025-02-24T21:32:26+00:00,12,90,131,,,,,
2025-02-24T21:32:42+00:00,13,90,131,,,,,
2025-02-24T21:32:58+00:00,14,91,132,,,,,
2025-02-24T21:33:14+00:00,15,90,132,,,,,
2025-02-24T21:33:29+00:00,16,90,132,,,,,
2025-02-24T21:33:46+00:00,17,90,131,,,,,
2025-02-24T21:34:01+00:00,18,91,132,,,,,
2025-02-24T21:34:17+00:00,19,91,145,,,,,
2025-02-24T21:34:32+00:00,20,90,141,,,,,
2025-02-24T21:34:49+00:00,21,90,141,,,,,
2025-02-24T21:35:05+00:00,22,90,141,,,,,
2025-02-24T21:35:20+00:00,23,90,142,,,,,
2025-02-24T21:35:36+00:00,24,90,142,,,,,
2025-02-24T21:35:52+00:00,25,90,142,,,,,
2025-02-24T21:36:08+00:00,26,90,142,,,,,
2025-02-24T21:36:24+00:00,27,90,142,,,,,
2025-02-24T21:36:40+00:00,28,90,142,,,,,
2025-02-24T21:36:56+00:00,29,90,142,,,,,
2025-02-24T21:37:12+00:00,30,90,142,,,,,
2025-02-24T21:37:27+00:00,31,90,142,,,,,
2025-02-24T21:37:43+00:00,32,90,142,,,,,
2025-02-24T21:37:59+00:00,33,90,141,,,,,
2025-02-24T21:38:15+00:00,34,90,142,,,,,
2025-02-24T21:38:31+00:00,35,90,141,,,,,
2025-02-24T21:38:47+00:00,36,90,141,,,,,
2025-02-24T21:39:03+00:00,37,90,141,,,,,
2025-02-24T21:39:19+00:00,38,90,141,,,,,
2025-02-24T21:39:34+00:00,39,90,141,,,,,
2025-02-24T21:39:50+00:00,40,90,141,,,,,
2025-02-24T21:40:06+00:00,41,90,141,,,,,
2025-02-24T21:40:22+00:00,42,90,141,,,,,
2025-02-24T21:40:38+00:00,43,90,141,,,,,
2025-02-24T21:40:53+00:00,44,90,141,,,,,
2025-02-24T21:41:10+00:00,45,90,141,,,,,
